instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
Ohio Christian University,35630,35630,35630,32670,32670,32670,26400,26400,26400,
Ohio Dominican University,48364,48364,48364,46422,46422,46422,38514,38514,38514,
Ohio Northern University,53163,53163,53163,49501,49501,49501,44527,44527,44527,
Ohio State University Agricultural Technical Institute,23916,23916,48153,23916,23916,48153,16638,16638,40875,
Ohio State University-Main Campus,30185,30185,54422,28345,28345,52582,18355,18355,42592,
Ohio State University-Mansfield Campus,23862,23862,48099,23862,23862,48099,16584,16584,40821,
Ohio State University-Newark Campus,23862,23862,48099,23862,23862,48099,16584,16584,40821,
Ohio University-Main Campus,29214,29214,39582,29214,29214,39582,19956,19956,30324,
Ohio Wesleyan University,66607,66607,66607,59862,59862,59862,52862,52862,52862,
Ohr Hameir Theological Seminary,22350,22350,22350,,,,,,,
Oklahoma Baptist University,47120,47120,47120,47120,47120,47120,38900,38900,38900,
Oklahoma Christian University,38948,38948,38948,38948,38948,38948,30348,30348,30348,
Oklahoma City University,46480,46480,46480,46480,46480,46480,36994,36994,36994,
Oklahoma Panhandle State University,14853,14853,15604,15944,15944,16695,8909,8909,9660,
Oklahoma State University Institute of Technology,17842,17842,23452,18288,18288,23898,11362,11362,16972,
Oklahoma State University-Main Campus,26204,26204,41724,26204,26204,41724,16404,16404,31924,
Oklahoma Wesleyan University,44130,44130,44130,44130,44130,44130,35012,35012,35012,
Old Dominion University,29000,29000,48950,29000,29000,48950,15520,15520,35470,
Olivet Nazarene University,51480,51480,51480,55150,55150,55150,42290,42290,42290,
Olympic College,20252,20252,25790,20452,20452,25990,9352,9352,14890,
Onondaga Community College,18102,18102,23292,18410,18410,23600,8940,8940,14130,
Oral Roberts University,47316,47316,47316,51466,51466,51466,39260,39260,39260,
Orange Coast College,22702,22702,30262,24998,24998,32558,6731,6731,14291,
Oregon Institute of Technology,27443,27443,49277,31388,31388,53222,17965,17965,39799,
Oregon State University,30343,30343,51118,30343,30343,51118,16105,16105,36880,
Oregon State University-Cascades Campus,29307,29307,50442,29307,29307,50442,15069,15069,36204,
Otero College,20426,20426,22930,24675,24675,27179,15376,15376,17880,
Otis College of Art and Design,74064,74064,74064,74064,74064,74064,57135,57135,57135,
Ottawa University-Ottawa,50154,50154,50154,48220,48220,48220,38220,38220,38220,
Ottawa University-Surprise,52600,52600,52600,47600,47600,47600,37600,37600,37600,
Otterbein University,50630,50630,50630,51198,51198,51198,39182,39182,39182,
Ouachita Baptist University,45330,45330,45330,46180,46180,46180,35870,35870,35870,
Our Lady of the Lake University,44954,44954,44954,44954,44954,44954,34424,34424,34424,
Ozark Christian College,25530,25530,25530,27362,27362,27362,19072,19072,19072,
Ozarka College,16060,16060,19063,16675,16675,19678,9120,9120,12123,
Pace University,73252,73252,73252,77522,77522,77522,54122,54122,54122,
Pacific Islands University,14003,14003,14003,22145,22145,22145,11642,11642,11642,
Pacific Lutheran University,65904,65904,65904,65904,65904,65904,55251,55251,55251,
Pacific Northwest College of Art,67040,67040,67040,67040,67040,67040,49196,49196,49196,
Pacific Rim Christian University,28130,28130,28130,25767,25767,25767,18230,18230,18230,
Pacific Union College,47154,47154,47154,57474,57474,57474,39204,39204,39204,
Pacific University,69330,69330,69330,64728,64728,64728,54922,54922,54922,
Paier College,46980,46980,46980,33480,33480,33480,28980,28980,28980,
Paine College,27632,27632,27632,27632,27632,27632,20120,20120,20120,
Palau Community College,11711,11711,11951,12830,12830,13070,9130,9130,9370,
Palm Beach Atlantic University,56695,56695,56695,56540,56540,56540,45959,45959,45959,
Panola College,15602,17234,18290,15602,17234,18290,10030,11662,12718,
Paris Junior College,14824,16324,17824,17238,18738,20238,9123,10623,12123,
Park University,26006,26006,26006,25076,25076,25076,17676,17676,17676,
Patrick Henry College,40445,40445,40445,38325,38325,38325,30925,30925,30925,
Paul Quinn College,25048,25048,25048,26168,26168,26168,17398,17398,17398,
Paul Smiths College of Arts and Science,51094,51094,51094,51094,51094,51094,35548,35548,35548,
Pearl River Community College,11620,11620,13620,16764,16764,18764,8560,8560,10560,
Pennsylvania Academy of the Fine Arts,67788,67788,67788,67788,67788,67788,50276,50276,50276,
Pennsylvania College of Art and Design,43965,43965,43965,43965,43965,43965,34600,34600,34600,
Pennsylvania College of Technology,35087,35087,42827,34849,34849,42589,22957,22957,30697,
Pennsylvania State University-Main Campus,39447,39447,58263,39447,39447,58263,25779,25779,44595,
Pennsylvania State University-Penn State Abington,32522,32522,42424,34812,34812,44714,21144,21144,31046,
Pennsylvania State University-Penn State Altoona,35516,35516,45982,35516,35516,45982,21848,21848,32314,
Pennsylvania State University-Penn State Beaver,33100,33100,42362,33830,33830,43092,20162,20162,29424,
Pennsylvania State University-Penn State Berks,36866,36866,47332,35516,35516,45982,21848,21848,32314,
Pennsylvania State University-Penn State Brandywine,35698,35698,45392,34752,34752,44446,21084,21084,30778,
Pennsylvania State University-Penn State Erie-Behrend College,35516,35516,45982,35516,35516,45982,21848,21848,32314,
Pennsylvania State University-Penn State Greater Allegheny,33222,33222,42484,33952,33952,43214,20284,20284,29546,
Pennsylvania State University-Penn State Harrisburg,37510,37510,47976,35516,35516,45982,21848,21848,32314,
Pennsylvania State University-Penn State Hazleton,34022,34022,43716,34752,34752,44446,21084,21084,30778,
Pennsylvania State University-Penn State Mont Alto,33222,33222,42484,33952,33952,43214,20284,20284,29546,
Pennsylvania State University-Penn State Schuylkill,29412,29412,39106,34752,34752,44446,21084,21084,30778,
Pennsylvania Western University,29268,29268,33940,29268,29268,33940,17468,17468,22140,
Pepperdine University,85202,85202,85202,85202,85202,85202,66642,66642,66642,
Peru State College,22146,22146,22146,21226,21226,21226,12546,12546,12546,
Pfeiffer University,48310,48310,48310,48310,48310,48310,35790,35790,35790,
Philander Smith University,26212,26212,26212,31724,31724,31724,19236,19236,19236,
Piedmont University,45680,45680,45680,44194,44194,44194,34118,34118,34118,
Pierce College District,21194,21194,21557,25621,25621,25984,9109,9109,9472,
Pittsburg State University,23410,23410,35094,23900,23900,35584,14242,14242,25926,
Pittsburgh Technical College,38344,38344,38344,38344,38344,38344,24799,24799,24799,
Pitzer College,82832,82832,82832,77974,77974,77974,63428,63428,63428,
Plymouth State University,30212,30212,40592,30212,30212,40592,20112,20112,30492,
Point Loma Nazarene University,57104,57104,57104,64896,64896,64896,46626,46626,46626,
Point Park University,52360,52360,52360,43070,43070,43070,39920,39920,39920,
Point University,35300,35300,35300,35300,35300,35300,25300,25300,25300,
Pomona College,81196,81196,81196,78461,78461,78461,61838,61838,61838,
Pontifical Catholic University of Puerto Rico-Ponce,18558,18558,18558,20874,20874,20874,15959,15959,15959,
Pontifical College Josephinum,47439,47439,47439,,,,,,,
Portland State University,29445,29445,48345,29445,29445,48345,14505,14505,33405,
Post University,33660,33660,33660,30060,30060,30060,22060,22060,22060,
Potomac State College of West Virginia University,17988,17988,25356,17902,17902,25270,8702,8702,16070,
Prairie View A & M University,26855,26855,42430,25319,25319,40894,17250,17250,32825,
Pratt Community College,15634,15734,16250,20644,20744,21260,9882,9982,10498,
Pratt Institute-Main,77607,77607,77607,85007,85007,85007,63699,63699,63699,
Presbyterian College,57460,57460,57460,58700,58700,58700,46600,46600,46600,
Prescott College,47697,47697,47697,47375,47375,47375,38177,38177,38177,
Presentation College,38999,38999,38999,38658,38658,38658,28157,28157,28157,
Princeton University,80415,80415,80415,,,,,,,
Principia College,47000,47000,47000,44130,44130,44130,34130,34130,34130,
Providence Christian College,52331,52331,52331,51260,51260,51260,39408,39408,39408,
Providence College,76910,76910,76910,75288,75288,75288,66778,66778,66778,
Purdue University Fort Wayne,23838,23838,36426,23838,23838,36426,13727,13727,26315,
Purdue University Northwest,22056,22056,29047,23040,23040,30031,14595,14595,21586,
Purdue University-Main Campus,22922,22922,41724,22922,22922,41724,14572,14572,33374,
Queens University of Charlotte,58096,58096,58096,60930,60930,60930,45562,45562,45562,
Quincy University,45670,45670,45670,51430,51430,51430,35430,35430,35430,
Quinnipiac University,70540,70540,70540,70790,70790,70790,57690,57690,57690,
Rabbi Jacob Joseph School,20300,20300,20300,33290,33290,33290,18500,18500,18500,
Rabbinical Academy Mesivta Rabbi Chaim Berlin,18100,18100,18100,31390,31390,31390,16600,16600,16600,
Rabbinical College Beth Shraga,25950,25950,25950,36040,36040,36040,21250,21250,21250,
Rabbinical College Bobover Yeshiva Bnei Zion,20280,20280,20280,22980,22980,22980,14480,14480,14480,
Rabbinical College of America,25000,25000,25000,33590,33590,33590,18800,18800,18800,
Rabbinical College of Long Island,18300,18300,18300,,,,,,,
Rabbinical College of Ohr Shimon Yisroel,28600,28600,28600,44900,44900,44900,27700,27700,27700,
Rabbinical College Ohr Yisroel,15850,15850,15850,17850,17850,17850,11850,11850,11850,
Rabbinical College Telshe,20900,20900,20900,35870,35870,35870,17400,17400,17400,
Rabbinical Seminary Mkor Chaim,15450,15450,15450,29040,29040,29040,14250,14250,14250,
Rabbinical Seminary of America,19700,19700,19700,38000,38000,38000,15300,15300,15300,
Radford University,27063,27063,39600,27553,27553,40090,19986,19986,32523,
Ramapo College of New Jersey,34749,34749,44759,34957,34957,44967,22817,22817,32827,
Randall University,29748,29748,29748,34474,34474,34474,22318,22318,22318,
Randolph College,43722,43722,43722,,,,,,,
Randolph-Macon College,62370,62370,62370,60812,60812,60812,48860,48860,48860,
Ranger College,14934,16584,18684,17870,19520,21620,10070,11720,13820,
Ranken Technical College,33140,33140,33140,39860,39860,39860,24990,24990,24990,
Reading Hospital School of Health Sciences,29393,29393,29393,32177,32177,32177,21830,21830,21830,
Redlands Community College,16595,16595,19161,17360,17360,19926,11285,11285,13851,
Reed College,83310,83310,83310,79510,79510,79510,69890,69890,69890,
Reedley College,14033,14033,21593,22329,22329,29889,7243,7243,14803,
Regent University,30862,30862,30862,33640,33640,33640,24584,24584,24584,
Regis College,67300,67300,67300,67300,67300,67300,49720,49720,49720,
Regis University,60354,60354,60354,59268,59268,59268,46786,46786,46786,
Reinhardt University,47300,47300,47300,43400,43400,43400,35000,35000,35000,
Rensselaer Polytechnic Institute,79934,79934,79934,,,,,,,
Rhode Island College,27070,27070,42603,29054,29054,44587,14366,14366,29899,
Rhode Island School of Design,78939,78939,78939,78939,78939,78939,64705,64705,64705,
Rhodes College,68350,68350,68350,68350,68350,68350,55833,55833,55833,
Rice University,74110,74110,74110,74110,74110,74110,59110,59110,59110,
Richard Bland College,23053,23053,28843,17470,17470,23260,12450,12450,18240,
Rider University,56830,56830,56830,47500,47500,47500,41200,41200,41200,
Ringling College of Art and Design,76975,76975,76975,76509,76509,76509,61041,61041,61041,
Ripon College,61740,61740,61740,59000,59000,59000,52250,52250,52250,
Rivier University,54502,54502,54502,56390,56390,56390,43362,43362,43362,
Roanoke College,53966,53966,53966,54164,54164,54164,38600,38600,38600,
Robert Morris University,52791,52791,52791,51631,51631,51631,43487,43487,43487,
Roberts Wesleyan University,51836,51836,51836,50896,50896,50896,42412,42412,42412,
Rochester Institute of Technology,72296,72296,72296,72296,72296,72296,56948,56948,56948,
Rochester University,39098,39098,39098,35568,35568,35568,30408,30408,30408,
Rockford University,50120,50120,50120,47900,47900,47900,40150,40150,40150,
Rockhurst University,59444,59444,59444,66844,66844,66844,49164,49164,49164,
Rocky Mountain College,46042,46042,46042,46041,46041,46041,36922,36922,36922,
Roger Williams University,61606,61606,61606,57600,57600,57600,44756,44756,44756,
Rogers State University,24044,24044,31828,24471,24471,32255,15148,15148,22932,
Rollins College,75310,75310,75310,70120,70120,70120,60020,60020,60020,
Roosevelt University,53693,53693,53693,50568,50568,50568,39768,39768,39768,
Rose State College,20642,20642,27019,20642,20642,27019,12850,12850,19227,
Rose-Hulman Institute of Technology,74226,74226,74226,74226,74226,74226,57579,57579,57579,
Rosedale Bible College,19718,19718,19718,30572,30572,30572,15572,15572,15572,
Rosemont College,37526,37526,37526,37526,37526,37526,27896,27896,27896,
Rowan University,36829,36829,46222,31387,31387,40780,21814,21814,31207,
Russell Sage College,52769,52769,52769,49711,49711,49711,45151,45151,45151,
Rust College,18600,18600,18600,17650,17650,17650,13350,13350,13350,
Rutgers University-Camden,34629,34629,52329,46758,46758,64458,28880,28880,46580,
Rutgers University-New Brunswick,35766,35766,53466,46909,46909,64609,29031,29031,46731,
Rutgers University-Newark,35585,35585,53285,46294,46294,63994,28416,28416,46116,
Sacred Heart Major Seminary,39466,39466,39466,39873,39873,39873,26008,26008,26008,
Sacred Heart University,67950,67950,67950,61392,61392,61392,50930,50930,50930,
Saginaw Valley State University,25285,25285,40884,26795,26795,42394,15395,15395,30994,
Saint Ambrose University,51298,51298,51298,53632,53632,53632,39880,39880,39880,
Saint Anselm College,65620,65620,65620,62606,62606,62606,52268,52268,52268,
Saint Augustine's University,32118,32118,32118,32118,32118,32118,21721,21721,21721,
Saint Charles Borromeo Seminary-Overbrook,44853,44853,44853,32810,32810,32810,26310,26310,26310,
Saint Cloud State University,24067,24067,33951,24067,24067,33951,14117,14117,24001,
Saint Edward's University,68778,68778,68778,68778,68778,68778,54902,54902,54902,
Saint Elizabeth University,53374,53374,53374,56630,56630,56630,42630,42630,42630,
Saint Francis University,58972,58972,58972,61972,61972,61972,49620,49620,49620,
Saint Johns University,66954,66954,66954,66954,66954,66954,55064,55064,55064,
Saint Joseph Seminary College,43395,43395,43395,,,,,,,
Saint Joseph's College of Maine,59422,59422,59422,52686,52686,52686,45486,45486,45486,
Saint Joseph's University,67266,67266,67266,67266,67266,67266,53151,53151,53151,
Saint Leo University,46602,46602,46602,39662,39662,39662,31202,31202,31202,
Saint Louis University,70676,70676,70676,70676,70676,70676,56786,56786,56786,
Saint Martin's University,60060,60060,60060,57068,57068,57068,46220,46220,46220,
Saint Mary's College,66210,66210,66210,62680,62680,62680,52730,52730,52730,
Saint Mary's College of California,74188,74188,74188,76792,76792,76792,58432,58432,58432,
Saint Mary's University of Minnesota,54870,54870,54870,54870,54870,54870,54870,54870,54870,
Saint Mary-of-the-Woods College,49046,49046,49046,44526,44526,44526,38240,38240,38240,
Saint Michael's College,67512,67512,67512,67512,67512,67512,53217,53217,53217,
Saint Norbert College,57584,57584,57584,55580,55580,55580,46680,46680,46680,
Saint Peter's University,59298,59298,59298,51290,51290,51290,44240,44240,44240,
Saint Vincent College,56629,56629,56629,56629,56629,56629,46303,46303,46303,
Saint Xavier University,50920,50920,50920,48476,48476,48476,39654,39654,39654,
Salem College,49290,49290,49290,,,,34840,34840,34840,
Salem State University,29916,29916,36899,27426,27426,34409,19936,19936,26919,
Salem University,24550,24550,24550,24550,24550,24550,16150,16150,16150,
Salisbury University,27386,27386,37862,27386,27386,37862,14396,14396,24872,
Salish Kootenai College,15231,17319,22503,15231,17319,22503,8211,10299,15483,
Salve Regina University,67780,67780,67780,63150,63150,63150,51480,51480,51480,
Sam Houston State University,25114,25114,34906,25114,25114,34906,14206,14206,23998,
Samford University,53934,53934,53934,57200,57200,57200,43200,43200,43200,
San Diego Christian College,43300,43300,43300,51500,51500,51500,32300,32300,32300,
San Diego State University,32110,32110,43990,29302,29302,41182,13478,13478,25358,
San Francisco Bay University,22080,22080,22080,24930,24930,24930,13030,13030,13030,
San Francisco Conservatory of Music,79100,79100,79100,77100,77100,77100,55940,55940,55940,
San Francisco State University,29125,29125,41005,31825,31825,43705,12583,12583,24463,
San Jose State University,30850,30850,42730,32426,32426,44306,12953,12953,24833,
San Juan College,17774,17774,20942,16094,16094,19262,7294,7294,10462,
Santa Clara University,78849,78849,78849,81330,81330,81330,63060,63060,63060,
Sarah Lawrence College,79414,79414,79414,78992,78992,78992,62634,62634,62634,
Savannah College of Art and Design,60425,60425,60425,57566,57566,57566,45134,45134,45134,
Savannah State University,17435,17435,28155,17310,17310,28030,9548,9548,20268,
School of the Art Institute of Chicago,75450,75450,75450,69180,69180,69180,58900,58900,58900,
School of Visual Arts,77268,77268,77268,77268,77268,77268,54068,54068,54068,
Schreiner University,47446,47446,47446,47544,47544,47544,37714,37714,37714,
Scripps College,83330,83330,83330,,,,,,,
Seattle Pacific University,55737,55737,55737,55737,55737,55737,41328,41328,41328,
Seattle University,69798,69798,69798,69798,69798,69798,56274,56274,56274,
Seminary Bnos Chaim,21470,21470,21470,32940,32940,32940,18150,18150,18150,
Seminole State College,24430,24430,30760,29060,29060,35390,14710,14710,21040,
Seton Hall University,69492,69492,69492,70192,70192,70192,53660,53660,53660,
Seton Hill University,57274,57274,57274,54822,54822,54822,43724,43724,43724,
Seward County Community College,15273,15369,16553,18949,19045,20229,9763,9859,11043,
Sh'or Yoshuv Rabbinical College,22200,22200,22200,31290,31290,31290,16500,16500,16500,
Shasta Bible College and Graduate School,26560,26560,26560,34460,34460,34460,19560,19560,19560,
Shasta College,11637,11637,18717,27679,27679,34759,5691,5691,12771,
Shaw University,29734,29734,29734,30270,30270,30270,22170,22170,22170,
Shawnee State University,26645,26645,32990,24793,24793,31138,15057,15057,21402,
Shenandoah University,50500,50500,50500,50500,50500,50500,40650,40650,40650,
Shepherd University,23144,23144,33584,23769,23769,34209,12782,12782,23222,
Shippensburg University of Pennsylvania,29664,29664,30392,28354,28354,29082,18126,18126,18854,
Shoreline Community College,27050,27050,29876,27050,27050,29876,8588,8588,11414,
Shorter University,35570,35570,35570,40961,40961,40961,27745,27745,27745,
Siena College,62329,62329,62329,57322,57322,57322,46240,46240,46240,
Siena Heights University,44234,44234,44234,44234,44234,44234,32034,32034,32034,
Sierra College,13844,13844,21236,26346,26346,33738,6044,6044,13436,
Simmons University,64548,64548,64548,64548,64548,64548,48180,48180,48180,
Simpson College,59146,59146,59146,58032,58032,58032,49892,49892,49892,
Simpson University,53580,53580,53580,60388,60388,60388,42028,42028,42028,
Sisseton Wahpeton College,12030,12030,12030,15530,15530,15530,9030,9030,9030,
Sitting Bull College,14590,14590,14590,17560,17560,17560,8740,8740,8740,
Skagit Valley College,18357,18357,21498,18357,18357,21498,8607,8607,11748,
Skidmore College,81890,81890,81890,,,,70740,70740,70740,
Slippery Rock University of Pennsylvania,25285,25285,29393,26267,26267,30375,18011,18011,22119,
Smith College,82134,82134,82134,71468,71468,71468,70846,70846,70846,
Snead State Community College,16272,16272,20272,19172,19172,23172,11597,11597,15597,
Snow College,13230,13230,23180,12180,12180,22130,8180,8180,18130,
Soka University of America,52758,52758,52758,58930,58930,58930,40660,40660,40660,
Sonoma State University,27352,27352,39232,30252,30252,42132,12810,12810,24690,
South Carolina State University,30060,30060,40750,31060,31060,41750,21060,21060,31750,
South Dakota School of Mines and Technology,25520,25520,29940,28180,28180,32600,17500,17500,21920,
South Dakota State University,22934,22934,26444,25271,25271,28781,14336,14336,17846,
South Georgia State College,19190,19190,25542,19322,19322,25674,9952,9952,16304,
South Georgia Technical College,12267,12267,15267,17569,17569,20569,6867,6867,9867,
South Plains College,11717,13589,13973,17909,19781,20165,8795,10667,11051,
Southeast Community College Area,15098,15098,15602,16050,16050,16554,6586,6586,7090,
Southeast Missouri State University,24988,24988,31558,24988,24988,31558,15034,15034,21604,
Southeast Technical College,22960,22960,22960,22960,22960,22960,15581,15581,15581,
Southeastern Baptist College,10775,10775,10775,13725,13725,13725,7775,7775,7775,
Southeastern Baptist Theological Seminary,20751,20751,20751,27255,27255,27255,14877,14877,14877,
Southeastern Community College,20716,20716,20866,22342,22342,22492,12592,12592,12742,
Southeastern Free Will Baptist Bible College,20643,20643,20643,28790,28790,28790,18640,18640,18640,
Southeastern Louisiana University,24573,24573,37051,25611,25611,38089,15143,15143,27621,
Southeastern Oklahoma State University,19070,19070,27980,19038,19038,27948,12900,12900,21810,
Southeastern University,46308,46308,46308,44628,44628,44628,34148,34148,34148,
Southern Adventist University,37600,37600,37600,38270,38270,38270,29270,29270,29270,
Southern Arkansas University Main Campus,25445,25445,30875,27123,27123,32553,18250,18250,23680,
Southern Arkansas University Tech,16771,16771,16771,21379,21379,21379,11073,11073,11073,
Southern California Seminary,36777,36777,36777,41586,41586,41586,23694,23694,23694,
Southern Connecticut State University,30710,30710,43598,27860,27860,40748,19394,19394,32282,
Southern Illinois University-Carbondale,30089,30089,30089,30089,30089,30089,19467,19467,19467,
Southern Illinois University-Edwardsville,26862,26862,26862,26862,26862,26862,16590,16590,16590,
Southern Maine Community College,18065,18065,20945,18983,18983,21863,11163,11163,14043,
Southern Methodist University,83130,83130,83130,74080,74080,74080,65380,65380,65380,
Southern Nazarene University,41352,41352,41352,43914,43914,43914,33844,33844,33844,
Southern New Hampshire University,37280,37280,37280,39598,39598,39598,27450,27450,27450,
Southern Oregon University,30009,30009,48369,26148,26148,44508,14190,14190,32550,
Southern Union State Community College,14120,14120,17870,18570,18570,22320,14920,14920,18670,
Southern University and A & M College,26076,25984,33334,27178,27086,34436,16710,16618,23968,
Southern University at New Orleans,22481,22481,31381,24369,24369,33269,13901,13901,22801,
Southern University at Shreveport,21820,21820,21820,15400,15400,15400,10400,10400,10400,
Southern Utah University,19886,19886,33702,20670,20670,34486,11470,11470,25286,
Southern Virginia University,33258,33258,33258,30808,30808,30808,24108,24108,24108,
Southern Wesleyan University,40660,40660,40660,36965,36965,36965,30830,30830,30830,
Southwest Baptist University,38828,38828,38828,38422,38422,38422,30538,30538,30538,
Southwest College for the Deaf,14687,16247,25967,17856,19416,29136,8464,10024,19744,
Southwest Minnesota State University,23194,23194,23194,23194,23194,23194,13936,13936,13936,
Southwest Mississippi Community College,11150,11150,13850,13600,13600,16300,8200,8200,10900,
Southwest Texas Junior College,16218,17778,19602,16509,18069,19893,9644,11204,13028,
Southwest Wisconsin Technical College,18115,18115,20275,18115,18115,20275,10271,10271,12431,
Southwestern Adventist University,36760,36760,36760,36760,36760,36760,28160,28160,28160,
Southwestern Assemblies of God University,33242,33242,33242,38336,38336,38336,24086,24086,24086,
Southwestern Christian College,22650,22650,22650,22875,22875,22875,15333,15333,15333,
Southwestern Christian University,35016,35016,35016,36426,36426,36426,26436,26436,26436,
Southwestern College,54250,54250,54250,53842,53842,53842,45701,45701,45701,
Southwestern Community College,17542,17542,17766,19114,19114,19338,11454,11454,11678,
Southwestern Indian Polytechnic Institute,7404,7404,7404,20904,20904,20904,7404,7404,7404,
Southwestern Michigan College,18578,19840,20311,17014,18276,18747,9554,10816,11287,
Southwestern Oklahoma State University,23896,23896,31006,23278,23278,30388,15890,15890,23000,
Southwestern Oregon Community College,17619,17619,17619,18348,18348,18348,10248,10248,10248,
Southwestern University,63950,63950,63950,67320,67320,67320,52260,52260,52260,
Spalding University,43790,43790,43790,51403,51403,51403,39271,39271,39271,
Spartan College of Aeronautics and Technology,36613,36613,36613,39045,39045,39045,29893,29893,29893,
Spartanburg Methodist College,35100,35100,35100,33010,33010,33010,23930,23930,23930,
Spelman College,49566,49566,49566,49566,49566,49566,33900,33900,33900,
Spring Arbor University,44892,44892,44892,44892,44892,44892,34240,34240,34240,
Spring Hill College,38872,38872,38872,41840,41840,41840,27502,27502,27502,
Springfield College,58964,58964,58964,58964,58964,58964,45244,45244,45244,
St Bonaventure University,55420,55420,55420,55995,55995,55995,41270,41270,41270,
St Catherine University,61450,61450,61450,61450,61450,61450,51550,51550,51550,
St Clair County Community College,21208,25018,28708,16058,19868,23558,9228,13038,16728,
St Lawrence University,79665,79665,79665,70420,70420,70420,64770,64770,64770,
St Olaf College,69000,69000,69000,69000,69000,69000,56550,56550,56550,
St. Andrews University,50500,50500,50500,46420,46420,46420,41904,41904,41904,
St. Francis College,51298,51298,51298,51298,51298,51298,39298,39298,39298,
St. John Fisher University,53914,53914,53914,54014,54014,54014,41848,41848,41848,
St. John Vianney College Seminary,40000,40000,40000,,,,,,,
St. John's College,52960,52960,52960,48690,48690,48690,38690,38690,38690,
St. John's College,53210,53210,53210,48500,48500,48500,38100,38100,38100,
St. John's University-New York,70178,70178,70178,64643,64643,64643,55263,55263,55263,
St. Joseph's College of Nursing,33721,33721,33721,42181,42181,42181,27121,27121,27121,
St. Mary's College of Maryland,31795,31795,47871,31795,31795,47871,17649,17649,33725,
St. Mary's University,51174,51174,51174,43526,43526,43526,39526,39526,39526,
St. Thomas Aquinas College,55780,55780,55780,46450,46450,46450,40450,40450,40450,
St. Thomas University,51666,51666,51666,55709,55709,55709,41021,41021,41021,
Stanford University,82162,82162,82162,,,,,,,
State Fair Community College,15976,17464,19000,17561,19049,20585,8975,10463,11999,
State Technical College of Missouri,18940,18940,24820,17940,17940,23820,12940,12940,18820,
State University of New York at Cortland,26570,26570,36480,26550,26550,36460,13350,13350,23260,
State University of New York at New Paltz,27788,27788,37698,27788,27788,37698,13264,13264,23174,
State University of New York at Oswego,27509,27509,37419,27509,27509,37419,12069,12069,21979,
Stephen F Austin State University,25118,25118,36134,25118,25118,36134,15476,15476,26492,
Stephens College,42644,42644,42644,43304,43304,43304,31156,31156,31156,
Sterling College,44836,44836,44836,44836,44836,44836,35500,35500,35500,
Sterling College,52300,52300,52300,52800,52800,52800,44400,44400,44400,
Stetson University,71810,71810,71810,71810,71810,71810,56520,56520,56520,
Stevens Institute of Technology,77954,77954,77954,77954,77954,77954,61374,61374,61374,
Stevenson University,58518,58518,58518,52638,52638,52638,44238,44238,44238,
Stillman College,28052,28052,28052,28052,28052,28052,17998,17998,17998,
Stockton University,34976,34976,42710,31208,31208,38942,22252,22252,29986,
Stonehill College,69600,69600,69600,66238,66238,66238,54500,54500,54500,
Stony Brook University,30518,30518,48438,35086,35086,53006,18354,18354,36274,
Suffolk University,65464,65464,65464,68455,68455,68455,49332,49332,49332,
Sul Ross State University,24053,24053,33845,23948,23948,33740,14309,14309,24101,
Sullivan County Community College,21753,21753,26961,21753,21753,26961,9753,9753,14961,
Sullivan University,32721,32721,32721,32215,32215,32215,25330,25330,25330,
SUM Bible College and Theological Seminary,23756,23756,23756,29669,29669,29669,14267,14267,14267,
Summit Christian College,26634,26634,26634,28698,28698,28698,22994,22994,22994,
SUNY Adirondack,22548,22548,25092,20888,20888,23432,10888,10888,13432,
SUNY at Fredonia,26047,26047,35957,26047,26047,35957,13114,13114,23024,
SUNY at Purchase College,28541,28541,38451,29151,29151,39061,14203,14203,24113,
SUNY Brockport,27046,27046,36956,24280,24280,34190,13386,13386,23296,
SUNY Broome Community College,22918,22918,28198,19485,19485,24765,11340,11340,16620,
SUNY Buffalo State University,27698,27698,37608,28188,28188,38098,13802,13802,23712,
SUNY College at Geneseo,26632,26632,36542,26297,26297,36207,12466,12466,22376,
SUNY College at Plattsburgh,28331,28331,38241,28331,28331,38241,14889,14889,24799,
SUNY College at Potsdam,26052,26052,35962,21784,21784,31694,12012,12012,21922,
SUNY College of Agriculture and Technology at Cobleskill,28054,28054,37964,28054,28054,37964,12744,12744,22654,
SUNY College of Environmental Science and Forestry,28816,28816,40466,21696,21696,33346,12916,12916,24566,
SUNY College of Technology at Alfred,26028,26028,33108,23349,23349,30429,13142,13142,20222,
SUNY College of Technology at Canton,26994,26994,31424,28709,28709,33139,13899,13899,18329,
SUNY College of Technology at Delhi,26924,26924,30694,27004,27004,30774,12964,12964,16734,
SUNY Corning Community College,19026,19026,22290,18866,18866,22130,9266,9266,12530,
SUNY Maritime College,28880,28880,38790,28880,28880,38790,13640,13640,23550,
SUNY Morrisville,27071,27071,36981,27071,27071,36981,11871,11871,21781,
SUNY Old Westbury,24358,24358,34268,39360,39360,49270,14168,14168,24078,
