instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
Carleton College,81350,81350,81350,,,,,,,
Carlow University,49996,49996,49996,49996,49996,49996,36982,36982,36982,
Carnegie Mellon University,80230,80230,80230,78730,78730,78730,64424,64424,64424,
Carolina Christian College,16530,16530,16530,32240,32240,32240,26860,26860,26860,
Carolina University,32250,32250,32250,32070,32070,32070,19750,19750,19750,
Carroll College,54212,54212,54212,54212,54212,54212,42404,42404,42404,
Carroll University,51584,51584,51584,50250,50250,50250,41474,41474,41474,
Carson-Newman University,47964,47964,47964,45546,45546,45546,37882,37882,37882,
Carthage College,50748,50748,50748,50748,50748,50748,38100,38100,38100,
Case Western Reserve University,82004,82004,82004,74732,74732,74732,66954,66954,66954,
Casper College,15868,15868,20908,17248,17248,22288,8368,8368,13408,
Castleton University,27886,27886,44854,27634,27634,44602,16418,16418,33386,
Catawba College,49278,49278,49278,46750,46750,46750,37702,37702,37702,
Cazenovia College,55604,55604,55604,55604,55604,55604,40868,40868,40868,
Cedar Crest College,60215,60215,60215,59865,59865,59865,48643,48643,48643,
Cedarville University,47192,47192,47192,47192,47192,47192,38792,38792,38792,
Centenary College of Louisiana,58800,58800,58800,55610,55610,55610,45160,45160,45160,
Centenary University,53664,53664,53664,53628,53628,53628,41548,41548,41548,
Central Arizona College,13215,13215,14715,13215,13215,14715,5915,5915,7415,
Central Baptist College,29396,29396,29396,28086,28086,28086,22234,22234,22234,
Central Christian College of Kansas,32420,32420,32420,37206,37206,37206,24920,24920,24920,
Central Christian College of the Bible,22360,22360,22360,32630,32630,32630,20998,20998,20998,
Central College,35177,35177,35177,35177,35177,35177,24317,24317,24317,
Central Community College,14710,14710,16120,15000,15000,16410,10700,10700,12110,
Central Connecticut State University,28426,28426,41314,28426,28426,41314,16682,16682,29570,
Central Maine Community College,17096,17096,19976,17696,17696,20576,9396,9396,12276,
Central Methodist University-College of Liberal Arts and Sciences,44270,44270,44270,43500,43500,43500,35360,35360,35360,
Central Michigan University,26968,26968,26968,24870,24870,24870,16970,16970,16970,
Central Oregon Community College,22644,24300,30492,22644,24300,30492,10701,12357,18549,
Central Penn College,30320,30320,30320,27854,27854,27854,22204,22204,22204,
Central State University,21196,21196,23196,22096,22096,24096,11196,11196,13196,
Central Texas College,14511,15231,19011,14905,15625,19405,8245,8965,12745,
Central Washington University,26312,26312,43377,22408,22408,39473,12667,12667,29732,
Central Wyoming College,18142,18142,24442,22444,22444,28744,10852,10852,17152,
Central Yeshiva Tomchei Tmimim Lubavitz,16000,16000,16000,28990,28990,28990,14200,14200,14200,
Centralia College,25873,25873,26363,25873,25873,26363,9058,9058,9548,
Centre College,63470,63470,63470,61640,61640,61640,51065,51065,51065,
Chadron State College,22260,22260,22260,22260,22260,22260,12026,12026,12026,
Chaminade University of Honolulu,48434,48434,48434,47234,47234,47234,32784,32784,32784,
Champion Christian College,17255,17255,17255,21005,21005,21005,11405,11405,11405,
Champlain College,64010,64010,64010,60818,60818,60818,47680,47680,47680,
Chandler-Gilbert Community College,25215,25215,30999,25647,25647,31431,14406,14406,20190,
Chapman University,82546,82546,82546,80866,80866,80866,66342,66342,66342,
Charleston Southern University,45700,45700,45700,43560,43560,43560,34890,34890,34890,
Chatham University,57844,57844,57844,59344,59344,59344,46625,46625,46625,
Chestnut Hill College,57884,57884,57884,64718,64718,64718,48120,48120,48120,
Cheyney University of Pennsylvania,25248,25248,33214,26200,26200,34166,13986,13986,21952,
Chicago State University,32718,32718,32718,32718,32718,32718,18918,18918,18918,
Chipola College,11415,11415,17245,13656,13656,19486,8268,8268,14098,
Chowan University,38220,38220,38220,38220,38220,38220,28570,28570,28570,
Christ Mission College,15071,15071,15071,25049,25049,25049,15213,15213,15213,
Christian Brothers University,49094,49094,49094,50574,50574,50574,38874,38874,38874,
Christopher Newport University,32799,32799,46437,34467,34467,48105,21419,21419,35057,
Cisco College,15992,17192,17192,16950,18150,18150,11211,12411,12411,
Citadel Military College of South Carolina,31943,31943,55199,49334,49334,72590,29498,29498,52754,
Claflin University,33676,33676,33676,39446,39446,39446,28446,28446,28446,
